Nr. factura,Data factura,Baza impozitare,Valoare TVA,An factura,Predictie,Diferenta
42538,2020-08-11,92.27,17.53,2020,109.80622033126869,-0.006220331268693258
42773,2020-08-11,83.06,15.78,2020,98.84624175616518,-0.0062417561651813
42492,2020-08-12,55.76,10.59,2020,66.35630537559044,-0.006305375590443418
42650,2020-08-19,218.5,41.52,2020,260.0259264819511,-0.005926481951121332
42776,2020-08-19,105.05,19.96,2020,125.0161905325408,-0.006190532540799154
42777,2020-08-19,495.75,94.19,2020,589.9452819620784,-0.005281962078356628
42672,2020-08-20,71.88,13.66,2020,85.54626758413833,-0.006267584138328175
42698,2020-08-21,3980.12,756.22,2020,4736.33717798106,0.002822018939696136
42889,2020-08-27,129.0,24.51,2020,153.51613485010418,-0.006134850104189127
42931,2020-08-28,40.34,7.66,2020,48.006341247944015,-0.006341247944014583
43025,2020-08-31,17.1,3.25,2020,20.356395067017637,-0.00639506701763537
43088,2020-08-31,9777.96,1857.81,2020,11635.75369327204,0.016306727960909484
43454,2020-08-31,229.54,43.61,2020,273.15590112094884,-0.005901120948863081
43581,2020-08-31,296.92,56.42,2020,353.3457440833704,-0.00574408337041632
43091,2020-09-01,567.74,107.87,2020,675.6151144477976,-0.0051144477976095
43092,2020-09-01,52.85,10.04,2020,62.89631202313735,-0.006312023137347467
43096,2020-09-01,383.24,72.82,2020,456.06554335244164,-0.005543352441634397
43274,2020-09-01,30.04,5.71,2020,35.75636491278988,-0.006364912789877053
43310,2020-09-01,212.03,40.29,2020,252.32594155906494,-0.005941559064950752
43387,2020-09-01,377.36,71.7,2020,449.06555714463457,-0.0055571446345652475
43561,2020-09-01,185.71,35.28,2020,220.99600315696222,-0.0060031569622083225
43760,2020-09-01,201.88,38.36,2020,240.24596522843163,-0.005965228431620062
43142,2020-09-03,536.95,102.02,2020,638.9751860554262,-0.005186055426179337
43164,2020-09-03,39.93,7.59,2020,47.526341873079986,-0.006341873079982463
